,h_1,W_1,L1_final,H1_final,L2_final,M1_final,cure_at_1500,M2_final,H2_final
8,0.45,0.0,43696.11261204267,6819.915017017849,43696.11261204267,285770.9464388133,1.0,285770.9464388133,6819.915017017849
11,0.45,0.0017499999999999998,43577.354633235824,6729.235546981614,43577.354633235824,285045.68347262783,1.0,285045.68347262783,6729.235546981614
5,0.45,0.0035,43458.56719181099,6638.55326298934,43458.56719181099,284314.66519798647,1.0,284314.66519798647,6638.55326298934
2,0.45,0.00525,43339.708767475866,6547.8679701554,43339.708767475866,283577.6922108364,1.0,283577.6922108364,6547.8679701554
10,0.45,0.006999999999999999,43220.737642510954,6457.1794491576575,43220.737642510954,282834.5573178225,1.0,282834.5573178225,6457.1794491576575
15,0.45,0.008749999999999999,43101.611808539055,6366.487451470623,43101.611808539055,282085.0450519425,1.0,282085.0450519425,6366.487451470623
13,0.45,0.0105,42982.28887062113,6275.791693536513,42982.28887062113,281328.9311466335,1.0,281328.9311466335,6275.791693536513
12,0.45,0.01225,42862.725947886516,6185.091849632084,42862.725947886516,280565.98196296825,1.0,280565.98196296825,6185.091849632084
0,0.45,0.014,42742.879569811455,6094.387543134792,42742.879569811455,279795.9538636959,1.0,279795.9538636959,6094.387543134792
14,0.45,0.01575,42622.705567134886,6003.678335825267,42622.705567134886,279018.5925267292,1.0,279018.5925267292,6003.678335825267
6,0.45,0.017499999999999998,42502.1589562523,5912.963714782164,42502.1589562523,278233.6321892905,1.0,278233.6321892905,5912.963714782164
3,0.45,0.01925,42381.193815738,5822.243076327321,42381.193815738,277440.7948122479,1.0,277440.7948122479,5822.243076327321
1,0.45,0.021,42259.763153413434,5731.515706359969,42259.763153413434,276639.7891521069,1.0,276639.7891521069,5731.515706359969
7,0.45,0.02275,42137.81876209223,5640.78075627385,42137.81876209223,275830.30972560216,1.0,275830.30972560216,5640.78075627385
4,0.45,0.0245,42015.311061776134,5550.037213477596,42015.311061776134,275012.03564874467,1.0,275012.03564874467,5550.037213477596
9,0.45,0.02625,41892.188925636605,5459.283865326926,41892.188925636605,274184.62932837487,1.0,274184.62932837487,5459.283865326926
22,0.45,0.028,41768.39948657752,5368.519255025207,41768.39948657752,273347.73497961217,1.0,273347.73497961217,5368.519255025207
16,0.45,0.02975,41643.887920502566,5277.741627744131,41643.887920502566,272500.9769368444,1.0,272500.9769368444,5277.741627744131
24,0.45,0.0315,41518.59720159089,5186.948864852785,41518.59720159089,271643.9577188298,1.0,271643.9577188298,5186.948864852785
17,0.45,0.033249999999999995,41392.46782386352,5096.138403710178,41392.46782386352,270776.25579978485,1.0,270776.25579978485,5096.138403710178
27,0.45,0.035,41265.43748207144,5005.307139959941,41265.43748207144,269897.423027576,1.0,269897.423027576,5005.307139959941
25,0.45,0.03675,41137.440703387554,4914.451308657493,41137.440703387554,269006.98161693296,1.0,269006.98161693296,4914.451308657493
26,0.45,0.038499999999999986,41008.40841947709,4823.566339841263,41008.40841947709,268104.4206292914,1.0,268104.4206292914,4823.566339841263
19,0.45,0.04025,40878.267466170364,4732.646683320537,40878.267466170364,267189.1918307985,1.0,267189.1918307985,4732.646683320537
28,0.45,0.042,40746.93999506728,4641.685596476809,40746.93999506728,266260.70479531784,1.0,266260.70479531784,4641.685596476809
18,0.45,0.04375,40614.34277784067,4550.674887751338,40614.34277784067,265318.32108887896,1.0,265318.32108887896,4550.674887751338
29,0.45,0.0455,40480.38637963049,4459.604607211506,40480.38637963049,264361.3473346954,1.0,264361.3473346954,4459.604607211506
23,0.45,0.047249999999999986,40344.974172552014,4368.4626741498405,40344.974172552014,263389.0269121175,1.0,263389.0269121175,4368.4626741498405
20,0.45,0.049,40208.00115376973,4277.234430080738,40208.00115376973,262400.5299868603,1.0,262400.5299868603,4277.234430080738
31,0.45,0.05075,40069.352524561735,4185.902103792046,40069.352524561735,261394.9415014911,1.0,261394.9415014911,4185.902103792046
21,0.45,0.052499999999999984,39928.90197702943,4094.4441733341573,39928.90197702943,260371.2466719505,1.0,260371.2466719505,4094.4441733341573
30,0.45,0.054249999999999986,39786.50962325921,4002.8346080907813,39786.50962325921,259328.31343507554,1.0,259328.31343507554,4002.8346080907813
40,0.45,0.056,39642.019487449514,3911.041972534114,39642.019487449514,258264.87117052934,1.0,258264.87117052934,3911.041972534114
42,0.45,0.05775,39495.256464377584,3819.028372179803,39495.256464377584,257179.48487493172,1.0,257179.48487493172,3819.028372179803
41,0.45,0.0595,39346.02262720081,3726.748222014731,39346.02262720081,256070.52379300282,1.0,256070.52379300282,3726.748222014731
43,0.45,0.061249999999999985,39194.092743602094,3634.1468188553167,39194.092743602094,254936.1233072484,1.0,254936.1233072484,3634.1468188553167
44,0.45,0.063,39039.20883145799,3541.1587025550525,39039.20883145799,253774.13865223023,1.0,253774.13865223023,3541.1587025550525
45,0.45,0.06474999999999999,38881.07355351065,3447.705797938886,38881.07355351065,252582.08875196692,1.0,252582.08875196692,3447.705797938886
32,0.45,0.06649999999999999,38719.34221538192,3353.6953415168764,38719.34221538192,251357.0881834091,1.0,251357.0881834091,3353.6953415168764
46,0.45,0.06824999999999999,38553.61309378587,3259.01761679938,38553.61309378587,250095.76495540285,1.0,250095.76495540285,3259.01761679938
33,0.45,0.06999999999999999,38383.41578424611,3163.543552612715,38383.41578424611,248794.16148124172,1.0,248794.16148124172,3163.543552612715
34,0.45,0.07175,38208.19722401728,3067.122284415001,38208.19722401728,247447.61584934077,1.0,247447.61584934077,3067.122284415001
37,0.45,0.0735,38027.305022880304,2969.578844554392,38027.305022880304,246050.62031916468,1.0,246050.62031916468,2969.578844554392
